run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,31,186,105,0
200,686,85,392,209,0
400,1099,165,611,323,0
500,1463,252,832,379,0
600,1876,338,1092,446,0
700,2198,427,1283,488,0
800,2562,518,1362,682,0
900,2975,609,1642,724,0
1000,3297,698,1792,807,0
1100,3661,787,2011,863,0
1200,4074,879,2091,1104,0
1300,4396,971,2286,1139,0
1400,4760,1063,2530,1167,0
1500,5173,1154,2765,1254,0
1600,5495,1239,2362,1894,0
1700,5859,1326,2583,1950,0
1800,6272,1411,2711,2150,0
1900,6594,1495,2805,2294,0
2000,6958,1582,2610,2766,0
2100,7371,1672,2905,2794,0
2200,7693,1761,3016,2916,0
2300,8057,1850,3256,2951,0
2400,8470,1940,3316,3214,0
2500,8792,2033,3524,3235,0
2600,9156,2126,3760,3270,0
2700,9569,2219,4066,3284,0
2800,9891,2307,3662,3922,0
2900,10255,2396,3818,4041,0
3000,10668,2484,4032,4152,0
3100,10990,2572,4203,4215,0
3200,11354,2658,3739,4957,0
3300,11767,2745,3932,5090,0
3400,12089,2833,4110,5146,0
3500,12453,2921,4330,5202,0
3600,12866,3013,4272,5581,0
3700,13188,3106,4473,5609,0
3800,13552,3197,4550,5805,0
3900,13965,3288,4825,5847,5
4000,14287,3375,4416,6485,11
4100,14651,3465,4662,6513,11
4200,15064,3555,4936,6562,11
4300,15386,3644,5034,6687,21
4400,15750,3733,5269,6715,33
