run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,27,0
200,237150,0,234175,0,234175,0,2975,2975,0,49,0
300,474300,9350,364225,96050,460275,0,4675,4675,0,49,0
400,711450,51000,263925,390150,654075,0,6375,6375,0,49,0
500,948600,60350,391425,124100,515525,0,8075,8075,364650,49,0
600,1185750,102000,291125,418200,709325,0,9775,9775,364650,49,0
700,1422900,111350,418625,149600,568225,0,11475,11475,731850,49,0
800,1660050,153000,318325,443700,762025,0,13175,13175,731850,49,0
900,1897200,162350,445825,175100,620925,0,14875,14875,1099050,49,0
1000,2134350,204000,345525,469200,814725,0,16575,16575,1099050,49,0
1100,2371500,213350,473025,200600,673625,0,18275,18275,1466250,49,0
1200,2608650,255000,372725,494700,867425,0,19975,19975,1466250,49,0
1300,2845800,264350,500225,226100,726325,0,21675,21675,1833450,49,0
1400,3082950,306000,399925,520200,920125,0,23375,23375,1833450,49,0
1500,3320100,315350,527425,251600,779025,0,25075,25075,2200650,49,0
1600,3557250,357000,427125,545700,972825,0,26775,26775,2200650,49,0
1700,3794400,366350,554625,277100,831725,0,28475,28475,2567850,49,0
1800,4031550,408000,454325,571200,1025525,0,30175,30175,2567850,49,0
1900,4268700,417350,581825,302600,884425,0,31875,31875,2935050,49,0
2000,4505850,459000,471669,596700,1068369,0,33575,33575,2944906,49,16
2100,4743000,468350,585378,328100,913478,0,35275,35275,3325897,49,17
2200,4980150,510000,472328,464100,936428,0,36975,36975,3496747,49,16
2300,5217300,519350,586228,195500,781728,0,38675,38675,3877547,49,16
2400,5454450,561000,472328,489600,961928,0,40375,40375,3891147,49,16
2500,5691600,570350,586228,221000,807228,0,42075,42075,4271947,49,16
2600,5928750,612000,472328,515100,987428,0,43775,43775,4285547,49,16
2700,6165900,621350,586228,246500,832728,0,45475,45475,4666347,49,16
2800,6403050,663000,472328,540600,1012928,0,47175,47175,4679947,49,16
2900,6640200,672350,586228,272000,858228,0,48875,48875,5060747,49,16
3000,6877350,714000,472328,566100,1038428,0,50575,50575,5074347,49,16
3100,7114500,723350,27434,0,27434,297500,611069,908569,5455147,49,16
3200,7351650,723350,168534,1700,170234,307700,694369,1002069,5455997,42,1
3300,7588800,723350,307934,39950,347884,337450,721569,1059019,5458547,32,1
3400,7825950,723350,291784,251600,543384,337450,732619,1070069,5489147,0,1
3500,8063100,723350,366159,283050,649209,346800,735594,1082394,5608147,0,1
3600,8300250,723350,329609,363800,693409,346800,737294,1084094,5799397,0,1
3700,8537400,723350,393359,319600,712959,346800,738994,1085794,6015297,0,1
3800,8774550,723350,355109,413100,768209,346800,740694,1087494,6195497,0,1
3900,9011700,723350,418859,356150,775009,346800,742394,1089194,6424147,0,1
4000,9248850,723350,380609,449650,830259,346800,744094,1090894,6604347,0,1
4100,9486000,723350,444359,391000,835359,346800,745794,1092594,6834697,0,1
4200,9723150,723350,406109,484500,890609,346800,747494,1094294,7014897,0,1
4300,9960300,723350,469859,425850,895709,346800,749194,1095994,7245247,0,1
4400,10197450,723350,431609,519350,950959,346800,750894,1097694,7425447,0,1
4500,10434600,723350,495359,460700,956059,346800,752594,1099394,7655797,0,1
4600,10671750,723350,457109,554200,1011309,346800,754294,1101094,7835997,0,1
4700,10908900,723350,520859,495550,1016409,346800,755994,1102794,8066347,0,1
4800,11146050,723350,482609,589050,1071659,346800,757694,1104494,8246547,0,1
4900,11383200,723350,546359,530400,1076759,346800,759394,1106194,8476897,0,1
5000,11620350,723350,500526,623900,1124426,346800,761094,1107894,8664680,0,14
5100,11857500,723350,553694,407150,960844,346800,762794,1109594,9063712,0,15
5200,12094650,723350,503544,500650,1004194,346800,764494,1111294,9255812,0,15
5300,12331800,723350,554778,442000,996778,346800,766194,1112994,9498678,0,16
5400,12568950,723350,505478,535500,1040978,346800,766194,1112994,9691628,0,16
5500,12806100,723350,554778,476850,1031628,348500,767894,1116394,9934728,0,16
5600,13043250,723350,503778,570350,1074128,348500,769594,1118094,10127678,0,16
5700,13280400,723350,554778,511700,1066478,348500,771294,1119794,10370778,0,16
5800,13517550,723350,503778,605200,1108978,348500,772994,1121494,10563728,0,16
5900,13754700,723350,554778,546550,1101328,348500,774694,1123194,10806828,0,16
6000,13991850,723350,503778,640050,1143828,348500,776394,1124894,10999778,0,16
6100,14229000,723350,23184,0,23184,929900,1309688,2239588,11242878,0,16
6200,14466150,723350,102659,7650,110309,929900,1458863,2388763,11243728,46,1
6300,14703300,731850,285834,34000,319834,929900,1473738,2403638,11247978,50,1
