run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,72,0
200,237150,0,208675,0,208675,0,28475,28475,0,104,0
300,474300,32300,354450,57800,412250,0,29750,29750,0,104,0
400,711450,120700,269025,290700,559725,0,31025,31025,0,104,0
500,948600,153000,381650,187850,569500,0,32300,32300,193800,104,0
600,1185750,241400,294419,420750,715169,0,33575,33575,195606,104,1
700,1422900,273700,407894,110500,518394,0,34850,34850,595956,104,0
800,1660050,362100,323319,322150,645469,0,36125,36125,616356,104,0
900,1897200,394400,436794,120700,557494,0,37400,37400,907906,104,0
1000,2134350,482800,351369,353600,704969,0,38675,38675,907906,104,0
1100,2371500,515100,463994,217600,681594,0,39950,39950,1134856,104,0
1200,2608650,603500,376104,450500,826604,0,41225,41225,1137321,104,1
1300,2845800,635800,489579,141100,630679,0,42500,42500,1536821,104,0
1400,3082950,724200,405004,352750,757754,0,43775,43775,1557221,104,0
1500,3320100,756500,517778,151300,669078,0,45050,45050,1849472,104,1
1600,3557250,844900,431078,384200,815278,0,46325,46325,1850747,104,1
1700,3794400,877200,542598,248200,790798,0,47600,47600,2078802,104,1
1800,4031550,965600,453348,481100,934448,0,48875,48875,2082627,104,2
1900,4268700,997900,565718,171700,737418,0,50150,50150,2483232,104,1
2000,4505850,1086300,472476,383350,855826,0,51425,51425,2512299,104,13
2100,4743000,1118600,572798,181900,754698,0,52700,52700,2817002,104,16
2200,4980150,1207000,473348,414800,888148,0,53975,53975,2831027,104,16
2300,5217300,1239300,572118,278800,850918,0,55250,55250,3071832,104,16
2400,5454450,1327700,470118,511700,981818,0,56525,56525,3088407,104,17
2500,5691600,1360000,569738,202300,772038,0,57800,57800,3501762,104,16
2600,5928750,1448400,471138,413950,885088,0,59075,59075,3536187,104,16
2700,6165900,1480700,570758,212500,783258,0,60350,60350,3841592,104,16
2800,6403050,1569100,471308,445400,916708,0,61625,61625,3855617,104,16
2900,6640200,1601400,570078,309400,879478,0,62900,62900,4096422,104,16
3000,6877350,1689800,468078,542300,1010378,0,64175,64175,4112997,104,17
3100,7114500,1722100,2550,0,2550,232900,630598,863498,4526352,104,16
3200,7351650,1722100,53125,1700,54825,233750,814623,1048373,4526352,82,0
3300,7588800,1722100,225675,25500,251175,233750,853723,1087473,4528052,66,0
3400,7825950,1722100,317050,126650,443700,247350,867748,1115098,4545052,0,0
3500,8063100,1722100,299200,316200,615400,295800,869448,1165248,4560352,0,0
3600,8300250,1722100,359125,282200,641325,295800,870723,1166523,4770302,0,0
3700,8537400,1722100,325359,476850,802209,295800,871998,1167798,4845293,0,1
3800,8774550,1722100,385284,268600,653884,295800,873273,1169073,5229493,0,0
3900,9011700,1722100,354259,362950,717209,295800,874548,1170348,5402043,0,0
4000,9248850,1722100,414184,282200,696384,295800,875823,1171623,5658743,0,0
4100,9486000,1722100,382309,413100,795409,295800,877098,1172898,5795593,0,0
4200,9723150,1722100,441384,379950,821334,295800,878373,1174173,6005543,0,0
4300,9960300,1722100,407639,510850,918489,295800,879648,1175448,6144263,0,1
4400,10197450,1722100,467564,309400,776964,295800,880923,1176723,6521663,0,0
4500,10434600,1722100,436433,403750,840183,295800,882198,1177998,6694319,0,1
4600,10671750,1722100,494233,370600,864833,295800,883473,1179273,6905544,0,1
4700,10908900,1722100,461168,501500,962668,295800,884748,1180548,7043584,0,1
4800,11146050,1722100,517268,468350,985618,295800,886023,1181823,7256509,0,2
4900,11383200,1722100,485053,430950,916003,295800,887298,1183098,7561999,0,1
5000,11620350,1722100,540007,350200,890207,295800,888573,1184373,7823670,0,7
5100,11857500,1722100,497530,481100,978630,295800,889848,1185648,7971122,0,14
5200,12094650,1722100,544280,447950,992230,295800,891123,1186923,8193397,0,14
5300,12331800,1722100,497233,578850,1076083,295800,892398,1188198,8345419,0,17
5400,12568950,1722100,543133,377400,920533,295800,893673,1189473,8736844,0,16
5500,12806100,1722100,498168,471750,969918,295800,894948,1190748,8923334,0,16
5600,13043250,1722100,543218,438600,981818,295800,896223,1192023,9147309,0,16
5700,13280400,1722100,497403,569500,1066903,295800,897498,1193298,9298099,0,16
5800,13517550,1722100,540753,536350,1077103,295800,898773,1194573,9523774,0,17
5900,13754700,1722100,495788,498950,994738,295800,900048,1195848,9842014,0,16
6000,13991850,1722100,541688,418200,959888,295800,901323,1197123,10112739,0,16
6100,14229000,1722100,2550,0,2550,844900,1395921,2240821,10263529,0,16
6200,14466150,1722100,80325,2550,82875,844900,1552746,2397646,10263529,82,0
6300,14703300,1742500,245225,17000,262225,844900,1587596,2432496,10266079,104,0
6400,14940450,1803700,312800,121550,434350,844900,1591421,2436321,10266079,104,0
6500,15177600,1863200,315775,239700,555475,844900,1592696,2437596,10321329,104,0
6600,15414750,1924400,341700,307700,649400,844900,1593971,2438871,10402079,104,0
6700,15651900,1983900,340659,374850,715509,844900,1595246,2440146,10512345,104,1
6800,15889050,2045100,367434,225250,592684,844900,1596521,2441421,10809845,104,0
6900,16126200,2104600,369559,246500,616059,844900,1597796,2442696,10962845,104,0
7000,16363350,2165800,396334,235450,631784,844900,1599071,2443971,11121795,104,0
7100,16600500,2225300,397609,300900,698509,844900,1600346,2445246,11231445,104,0
7200,16837650,2286500,423534,332350,755884,844900,1601621,2446521,11348745,104,0
7300,17074800,2346000,422854,397800,820654,844900,1602896,2447796,11460350,104,1
7400,17311950,2407200,449629,255850,705479,844900,1604171,2449071,11750200,104,0
7500,17549100,2466700,451754,277100,728854,844900,1605446,2450346,11903200,104,0
7600,17786250,2527900,477828,266050,743878,844900,1606721,2451621,12062851,104,1
7700,18023400,2587400,477828,331500,809328,844900,1607996,2452896,12173776,104,1
7800,18260550,2648600,502648,362950,865598,844900,1609271,2454171,12292181,104,1
7900,18497700,2708100,500098,428400,928498,844900,1610546,2455446,12405656,104,2
8000,18734850,2769300,522688,286450,809138,844900,1611821,2456721,12699691,104,6
8100,18972000,2828800,514976,307700,822676,844900,1613096,2457996,12862528,104,13
8200,19209150,2890000,529214,296650,825864,844900,1614371,2459271,13034015,104,15
8300,19446300,2949500,516698,362100,878798,844900,1615646,2460546,13157456,104,16
8400,19683450,3010700,528768,393550,922318,844900,1616921,2461821,13288611,104,16
8500,19920600,3070200,513468,459000,972468,844900,1618196,2463096,13414836,104,17
8600,20157750,3131400,526388,317050,843438,844900,1619471,2464371,13718541,104,16
8700,20394900,3190900,514488,338300,852788,844900,1620746,2465646,13885566,104,16
8800,20632050,3252100,527408,327250,854658,844900,1622021,2466921,14058371,104,16
8900,20869200,3311600,514658,392700,907358,844900,1623296,2468196,14182046,104,16
9000,21106350,3372800,526728,424150,950878,844900,1624571,2469471,14313201,104,16
9100,21343500,3432300,2550,0,2550,1334500,2134724,3469224,14439426,104,17
9200,21580650,3432300,81600,1700,83300,1335350,2290274,3625624,14439426,82,0
9300,21817800,3432300,241400,36550,277950,1335350,2331074,3666424,14441126,66,0
9400,22054950,3432300,306425,162350,468775,1349800,2345099,3694899,14458976,0,0
9500,22292100,3432300,316200,311950,628150,1398250,2347224,3745474,14486176,0,0
9600,22529250,3432300,348075,317900,665975,1398250,2348499,3746749,14684226,0,0
9700,22766400,3432300,342869,471750,814619,1398250,2349774,3748024,14771457,0,1
9800,23003550,3432300,373894,300900,674794,1398250,2351049,3749299,15147157,0,0
9900,23240700,3432300,371769,349350,721119,1398250,2352324,3750574,15336707,0,0
10000,23477850,3432300,402794,314500,717294,1398250,2353599,3751849,15576407,0,0
