run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,48,0
200,237150,0,204425,0,204425,0,32725,32725,0,142,0
300,474300,30600,349775,58650,408425,0,35275,35275,0,142,0
400,711450,149600,270300,244800,515100,0,40800,40800,5950,142,0
500,948600,181050,368050,256700,624750,0,50150,50150,92650,142,0
600,1185750,293250,291784,379950,671734,27200,62900,90100,130666,142,1
700,1422900,323850,365734,228650,594384,27200,95200,122400,382266,142,0
800,1660050,419050,311334,373150,684484,27200,107950,135150,421366,142,0
900,1897200,458150,398884,389300,788184,27200,112200,139400,511466,142,0
1000,2134350,549100,352389,537200,889589,27200,114750,141950,553711,142,1
1100,2371500,606050,392339,356150,748489,38250,150450,188700,828261,142,0
1200,2608650,691050,367264,451350,818614,38250,158525,196775,902211,142,0
1300,2845800,748000,442489,436050,878539,38250,161500,199750,1019511,142,0
1400,3082950,841500,405068,541450,946518,38250,161500,199750,1095182,142,1
1500,3320100,899300,457768,396950,854718,39100,176800,215900,1350182,142,0
1600,3557250,979200,403368,517650,921018,54400,207400,261800,1395232,142,0
1700,3794400,1032750,441193,505750,946943,54400,250325,304725,1509982,142,1
1800,4031550,1121150,393402,440300,833702,93500,274550,368050,1708648,142,1
1900,4268700,1180650,459702,266050,725752,93500,289000,382500,1979798,142,0
2000,4505850,1264800,418649,351050,769699,93500,316625,410125,2061226,142,8
2100,4743000,1330250,438581,349350,787931,113900,352793,466693,2158126,142,8
2200,4980150,1411000,411806,357000,768806,181900,373618,555518,2244826,142,7
2300,5217300,1476450,455156,432650,887806,181900,378718,560618,2292426,142,7
2400,5454450,1561450,425066,515950,941016,181900,387643,569543,2382441,142,8
2500,5691600,1626900,468416,417350,885766,181900,390193,572093,2606841,142,7
2600,5928750,1708500,447209,460700,907909,181900,395718,577618,2734723,142,9
2700,6165900,1774800,464209,457300,921509,221000,415268,636268,2833323,142,9
2800,6403050,1841100,440069,579700,1019769,221000,436093,657093,2885088,142,10
2900,6640200,1907400,482144,464100,946244,221000,441618,662618,3123938,142,9
3000,6877350,1991550,439474,584800,1024274,221000,463293,684293,3177233,142,10
3100,7114500,2053600,18934,0,18934,659600,939933,1599533,3442433,142,9
3200,7351650,2053600,74609,850,75459,662150,1117158,1779308,3443283,84,1
3300,7588800,2053600,238659,25500,264159,665550,1160508,1826058,3444983,3,1
3400,7825950,2053600,311334,91800,403134,733550,1183883,1917433,3451783,3,1
3500,8063100,2053600,301984,320450,622434,733550,1198333,1931883,3455183,0,1
3600,8300250,2053600,340659,379950,720609,733550,1214908,1948458,3577583,0,1
3700,8537400,2053600,327909,597550,925459,733550,1224258,1957808,3600533,0,1
3800,8774550,2053600,375509,657900,1033409,733550,1226808,1960358,3727183,0,1
3900,9011700,2053600,361293,809200,1170493,821100,1229783,2050883,3736724,0,2
4000,9248850,2053600,384796,704650,1089446,821100,1242958,2064058,4041746,0,3
4100,9486000,2053600,374596,513400,887996,855950,1255708,2111658,4432746,0,1
4200,9723150,2053600,407300,525300,932600,855950,1275683,2131633,4605317,0,2
4300,9960300,2053600,399225,530400,929625,855950,1283758,2139708,4837367,0,1
4400,10197450,2053600,439175,567800,1006975,855950,1292258,2148208,4988667,0,1
