run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,48,0
200,237150,0,214200,0,214200,0,22950,22950,0,142,0
300,474300,30600,357850,61200,419050,0,24650,24650,0,142,0
400,711450,150450,268600,266050,534650,0,26350,26350,0,142,0
500,948600,181050,385050,227800,612850,0,28050,28050,126650,142,0
600,1185750,300900,295184,432650,727834,0,29750,29750,127266,142,1
700,1422900,331500,412484,229500,641984,0,31450,31450,417966,142,0
800,1660050,451350,323234,434350,757584,0,33150,33150,417966,142,0
900,1897200,481950,439684,393550,833234,0,34850,34850,547166,142,0
1000,2134350,601800,347289,598400,945689,0,36550,36550,550311,142,1
1100,2371500,632400,464589,372300,836889,0,38250,38250,863961,142,0
1200,2608650,752250,376189,540600,916789,0,39950,39950,899661,142,0
1300,2845800,782850,493489,443700,937189,0,41650,41650,1084111,142,0
1400,3082950,902700,403368,612000,1015368,0,43350,43350,1121532,142,1
1500,3320100,933300,520668,397800,918468,0,45050,45050,1423282,142,0
1600,3557250,1053150,432268,595850,1028118,0,46750,46750,1429232,142,0
1700,3794400,1083750,546168,532950,1079118,0,48450,48450,1583082,142,1
1800,4031550,1203600,456302,552500,1008802,0,50150,50150,1768998,142,1
1900,4268700,1234200,574452,284750,859202,0,51850,51850,2123448,142,0
2000,4505850,1354050,477662,447950,925612,0,53550,53550,2172638,142,15
2100,4743000,1384650,581596,351050,932646,0,55250,55250,2370454,142,16
2200,4980150,1504500,478746,555900,1034646,0,56950,56950,2384054,142,16
2300,5217300,1535100,581596,515100,1096696,0,58650,58650,2526854,142,16
2400,5454450,1654950,475346,719950,1195296,0,60350,60350,2543854,142,17
2500,5691600,1685550,579046,493850,1072896,0,62050,62050,2871104,142,16
2600,5928750,1805400,477046,662150,1139196,0,63750,63750,2920404,142,16
2700,6165900,1836000,580406,565250,1145656,0,65450,65450,3118794,142,17
2800,6403050,1955850,476196,733550,1209746,0,67150,67150,3170304,142,17
2900,6640200,1986450,579896,519350,1099246,0,68850,68850,3485654,142,16
3000,6877350,2106300,477896,717400,1195296,0,70550,70550,3505204,142,16
3100,7114500,2136900,18934,0,18934,654500,631512,1286012,3672654,142,17
3200,7351650,2136900,158759,850,159609,657050,724587,1381637,3673504,84,1
3300,7588800,2136900,296884,55250,352134,667250,757312,1424562,3675204,3,1
3400,7825950,2136900,293484,253300,546784,683400,766662,1450062,3692204,3,1
3500,8063100,2136900,361059,385900,746959,683400,770487,1453887,3725354,0,1
3600,8300250,2136900,328759,533800,862559,683400,772187,1455587,3845204,0,1
3700,8537400,2136900,389109,656200,1045309,683400,773887,1457287,3897904,0,1
3800,8774550,2136900,349563,821950,1171513,683400,775587,1458987,4007150,0,2
3900,9011700,2136900,409722,755650,1165372,683400,777287,1460687,4248741,0,2
4000,9248850,2136900,374596,736950,1111546,683400,778987,1462387,4538017,0,2
4100,9486000,2136900,437390,617100,1054490,683400,780687,1464087,4830523,0,2
4200,9723150,2136900,405090,570350,975440,683400,782387,1465787,5145023,0,1
4300,9960300,2136900,464909,630700,1095609,683400,784087,1467487,5260304,0,2
4400,10197450,2136900,431759,600100,1031859,683400,785787,1469187,5559504,0,1
4500,10434600,2136900,492959,714850,1207809,683400,787487,1470887,5619004,0,1
4600,10671750,2136900,457344,857650,1314994,683400,789187,1472587,5747269,0,2
4700,10908900,2136900,517099,828750,1345849,683400,790887,1474287,5951864,0,2
4800,11146050,2136900,479593,804950,1284543,683400,792587,1475987,6248620,0,3
4900,11383200,2136900,540453,729300,1269753,683400,794287,1477687,6498860,0,3
5000,11620350,2136900,496213,877200,1373413,683400,795987,1479387,6630650,0,13
5100,11857500,2136900,547278,623900,1171178,683400,797687,1481087,7068335,0,16
5200,12094650,2136900,500528,761600,1262128,683400,799387,1482787,7212835,0,17
5300,12331800,2136900,546173,714000,1260173,683400,801087,1484487,7450240,0,18
5400,12568950,2136900,499848,549100,1048948,683400,802787,1486187,7896915,0,16
5500,12806100,2136900,548893,629000,1177893,683400,804487,1487887,8003420,0,16
5600,13043250,2136900,497468,794750,1292218,683400,806187,1489587,8124545,0,17
