run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,32,0
200,237150,0,207400,0,207400,0,29750,29750,0,47,0
300,474300,10200,333625,82450,416075,850,47175,48025,0,47,0
400,711450,49300,264350,326400,590750,10200,61200,71400,0,47,0
500,948600,59500,350625,291550,642175,10200,80325,90525,156400,47,0
600,1185750,98600,291975,475150,767125,68850,93925,162775,157250,47,0
700,1422900,108800,363609,419050,782659,68850,115600,184450,346991,47,1
800,1660050,147900,307084,481100,788184,68850,141525,210375,513591,47,0
900,1897200,158100,382309,436050,818359,68850,151300,220150,700591,47,0
1000,2134350,197200,355109,648550,1003659,68850,153850,222700,710791,47,0
1100,2371500,207400,415884,613700,1029584,68850,156825,225675,908841,47,0
1200,2608650,246500,379058,832150,1211208,68850,158950,227800,923142,47,2
1300,2845800,256700,438133,453900,892033,68850,164475,233325,1463742,47,0
1400,3082950,291550,396483,663850,1060333,68850,178925,247775,1483292,47,0
1500,3320100,298350,439961,596700,1036661,68850,205275,274125,1710964,47,2
1600,3557250,332350,415736,616250,1031986,68850,213775,282625,1910289,47,1
1700,3794400,347650,460276,571200,1031476,68850,237575,306425,2108849,47,2
1800,4031550,381650,424576,539750,964326,120700,249900,370600,2314974,47,1
1900,4268700,396950,486137,489600,975737,141100,267219,408319,2487694,47,1
2000,4505850,421600,437009,617950,1054959,208250,295078,503328,2525963,47,10
2100,4743000,436900,482739,626450,1109189,208250,308678,516928,2679983,47,9
2200,4980150,470900,459364,780300,1239664,208250,311228,519478,2750108,47,9
2300,5217300,486200,506773,813450,1320223,208250,313778,522028,2888849,47,11
2400,5454450,520200,463041,980900,1443941,208250,317178,525428,2964881,47,13
2500,5691600,535500,511555,644300,1155855,208250,319728,527978,3472267,47,12
2600,5928750,569500,473220,768400,1241620,208250,321003,529253,3588377,47,13
2700,6165900,584800,505584,568650,1074234,208250,337153,545403,3961463,47,13
2800,6403050,611150,453309,690200,1143509,208250,362653,570903,4077488,47,13
2900,6640200,621350,499464,669800,1169264,239700,378378,618078,4231508,47,13
3000,6877350,660450,445829,815150,1260979,242250,407937,650187,4305734,47,14
3100,7114500,670650,16384,0,16384,935000,894736,1829736,4597730,47,13
3200,7351650,670650,79284,0,79284,935850,1067286,2003136,4598580,36,1
3300,7588800,670650,245459,29750,275209,935850,1107661,2043511,4599430,28,1
3400,7825950,670650,309634,152150,461784,935850,1133586,2069436,4624080,15,1
3500,8063100,670650,308359,352750,661109,942650,1145911,2088561,4642780,0,1
3600,8300250,670650,341063,502350,843413,942650,1161636,2104286,4681901,0,2
3700,8537400,670650,335113,664700,999813,963050,1166311,2129361,4737576,0,2
3800,8774550,670650,363142,632400,995542,963050,1168861,2131911,4976447,0,2
3900,9011700,670650,360231,570350,930581,963050,1171836,2134886,5275583,0,2
4000,9248850,670650,391256,454750,846006,963050,1173961,2137011,5595183,0,1
4100,9486000,670650,389556,481100,870656,978350,1177361,2155711,5788983,0,1
4200,9723150,670650,410105,578000,988105,978350,1187136,2165486,5898909,0,3
4300,9960300,670650,390980,529550,920530,978350,1207536,2185886,6183234,0,2
4400,10197450,670650,418605,425000,843605,978350,1221561,2199911,6483284,0,1
4500,10434600,670650,424555,481950,906505,1042950,1230061,2273011,6584434,0,1
4600,10671750,670650,440705,600950,1041655,1042950,1242386,2285336,6674109,0,2
4700,10908900,670650,437135,555050,992185,1044650,1267461,2312111,6933954,0,2
4800,11146050,670650,452010,691050,1143060,1044650,1276811,2321461,7010879,0,3
4900,11383200,670650,438410,607750,1046160,1044650,1300186,2344836,7321554,0,2
5000,11620350,670650,446592,521050,967642,1076950,1319290,2396240,7585818,0,5
5100,11857500,670650,451374,612850,1064224,1078650,1324815,2403465,7719161,0,9
5200,12094650,670650,428190,566100,994290,1078650,1366933,2445583,7984127,0,9
5300,12331800,670650,410616,692750,1103366,1078650,1394367,2473017,8084767,0,8
5400,12568950,670650,431909,686800,1118709,1078650,1400317,2478967,8300624,0,9
5500,12806100,670650,432228,634100,1066328,1078650,1403717,2482367,8586755,0,9
5600,13043250,670650,447103,634950,1082053,1078650,1405842,2484492,8806055,0,8
5700,13280400,670650,447103,718250,1165353,1096500,1410092,2506592,8937805,0,8
5800,13517550,670650,451183,892500,1343683,1096500,1421142,2517642,8985575,0,9
5900,13754700,670650,453223,889100,1342323,1096500,1427517,2524017,9217710,0,11
6000,13991850,670650,454753,890800,1345553,1096500,1438992,2535492,9440155,0,10
6100,14229000,670650,16384,0,16384,1736550,1890111,3626661,9915305,0,8
6200,14466150,670650,82259,850,83109,1736550,2059686,3796236,9916155,110,1
6300,14703300,680000,245034,23800,268834,1736550,2100061,3836611,9917855,47,1
6400,14940450,711450,329184,136000,465184,1736550,2108561,3845111,9918705,47,1
6500,15177600,729300,318559,283050,601609,1736550,2118336,3854886,9991805,47,1
6600,15414750,760750,332584,367200,699784,1783300,2143411,3926711,10027505,47,1
6700,15651900,778600,329184,426700,755884,1783300,2160411,3943711,10173705,47,1
6800,15889050,810050,369368,535500,904868,1783300,2163386,3946686,10227446,47,2
6900,16126200,827900,368943,429250,798193,1783300,2167211,3950511,10549596,47,1
7000,16363350,859350,396568,518500,915068,1783300,2169336,3952636,10636296,47,1
7100,16600500,877200,391043,556750,947793,1783300,2179111,3962411,10813096,47,1
7200,16837650,900150,397907,677450,1075357,1783300,2205886,3989186,10872957,47,2
7300,17074800,917150,406832,573750,980582,1783300,2214811,3998111,11178957,47,1
7400,17311950,945200,399607,687650,1087257,1783300,2255186,4038486,11241007,47,1
7500,17549100,966450,402880,748000,1150880,1783300,2274311,4057611,11374159,47,4
7600,17786250,994500,420730,522750,943480,1783300,2293436,4076736,11771534,47,2
7700,18023400,1015750,429485,533800,963285,1783300,2303211,4086511,11957854,47,2
7800,18260550,1043800,424406,589900,1014306,1851300,2329965,4181265,12021179,47,2
7900,18497700,1065050,432736,628150,1060886,1851300,2352065,4203365,12168399,47,2
8000,18734850,1093100,439197,798150,1237347,1851300,2358015,4209315,12195088,47,6
8100,18972000,1114350,457239,835550,1292789,1851300,2360990,4212290,12352571,47,11
8200,19209150,1142400,454264,647700,1101964,1851300,2364390,4215690,12749096,47,9
8300,19446300,1163650,470669,655350,1126019,1851300,2367365,4218665,12937966,47,9
8400,19683450,1191700,468353,761600,1229953,1851300,2369490,4220790,13041007,47,10
8500,19920600,1212950,474133,807500,1281633,1851300,2379690,4230990,13195027,47,10
8600,20157750,1232500,447358,951150,1398508,1851300,2411990,4263290,13263452,47,10
8700,20394900,1249500,466122,880600,1346722,1951600,2426865,4378465,13420213,47,11
8800,20632050,1278400,440813,841500,1282313,1954150,2458124,4412274,13659063,47,11
8900,20869200,1298800,460618,693600,1154218,1954150,2472574,4426724,13989458,47,10
9000,21106350,1327700,447188,615400,1062588,1977950,2497458,4475408,14240654,47,10
9100,21343500,1348100,16384,0,16384,2434400,2958692,5393092,14585924,47,9
9200,21580650,1348100,76309,0,76309,2435250,3134217,5569467,14586774,36,1
9300,21817800,1348100,237809,28900,266709,2435250,3180117,5615367,14587624,28,1
9400,22054950,1348100,313034,145350,458384,2435250,3200092,5635342,14613124,15,1
9500,22292100,1348100,312184,360400,672584,2441200,3209442,5650642,14620774,0,1
9600,22529250,1348100,359359,492150,851509,2441200,3211567,5652767,14676874,0,1
9700,22766400,1348100,334327,701250,1035577,2441200,3215392,5656592,14726131,0,3
9800,23003550,1348100,381077,488750,869827,2441200,3215392,5656592,15129031,0,1
9900,23240700,1348100,356916,637500,994416,2456500,3222192,5678692,15219492,0,2
10000,23477850,1348100,394316,529550,923866,2456500,3231542,5688042,15517842,0,1
