run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,113,0
200,237150,0,212500,0,212500,0,24650,24650,0,201,0
300,474300,50150,330225,22950,353175,24650,46325,70975,0,199,0
400,711450,192950,265625,171700,437325,24650,56525,81175,0,199,0
500,948600,257550,357000,113900,470900,24650,72250,96900,123250,199,0
600,1185750,413950,283475,235450,518925,31450,93075,124525,128350,199,0
700,1422900,481100,378675,170850,549525,31450,99025,130475,261800,199,0
800,1660050,637500,324275,208250,532525,119000,104125,223125,266900,199,0
900,1897200,704650,399925,152150,552075,119000,114325,233325,407150,199,0
1000,2134350,857650,345950,273700,619650,119000,119850,238850,418200,199,0
1100,2371500,923100,424150,205700,629850,119000,126650,245650,572900,199,0
1200,2608650,1076950,360825,323850,684675,119000,143225,262225,584800,199,0
1300,2845800,1139000,419475,233750,653225,146200,172125,318325,735250,199,0
1400,3082950,1291150,373575,350200,723775,146200,174675,320875,747150,199,0
1500,3320100,1357450,452200,289000,741200,146200,177650,323850,897600,199,0
1600,3557250,1513850,401625,406300,807925,146200,179775,325975,909500,199,0
1700,3794400,1581000,470050,343400,813450,146200,191250,337450,1062500,199,0
1800,4031550,1726350,416500,411400,827900,196350,206550,402900,1074400,199,0
1900,4268700,1789250,473259,294950,768209,243100,238425,481525,1229716,199,1
2000,4505850,1932050,411147,247350,658497,243100,267325,510425,1404878,199,7
2100,4743000,1999200,481931,221000,702931,246500,280925,527425,1513444,199,8
2200,4980150,2144550,411147,335750,746897,246500,310909,557409,1531294,199,8
2300,5217300,2222750,457472,273700,731172,246500,343634,590134,1673244,199,7
2400,5454450,2368100,423663,298350,722013,323000,350243,673243,1691094,199,7
2500,5691600,2446300,472963,261800,734763,323000,369177,692177,1818360,199,8
2600,5928750,2591650,411338,380800,792138,323000,385752,708752,1836210,199,7
2700,6165900,2669000,468713,311950,780663,328950,395527,724477,1991760,199,7
2800,6403050,2814350,418372,435200,853572,328950,402327,731277,2003851,199,8
2900,6640200,2890850,490877,359550,850427,328950,405302,734252,2164671,199,8
3000,6877350,3034500,434012,493000,927012,328950,409977,738927,2176911,199,8
3100,7114500,3111850,5100,0,5100,742050,911203,1653253,2344297,199,9
3200,7351650,3115250,130050,0,130050,743750,1018303,1762053,2344297,206,0
3300,7588800,3115250,271150,51850,323000,748850,1057403,1806253,2344297,3,0
3400,7825950,3115250,265200,139400,404600,847450,1082053,1929503,2376597,3,0
3500,8063100,3115250,335325,260100,595425,847450,1095228,1942678,2409747,3,0
3600,8300250,3115250,296374,442000,738374,847450,1108403,1955853,2490773,0,1
3700,8537400,3115250,355874,329800,685674,850000,1118603,1968603,2767873,0,0
3800,8774550,3115250,328249,391850,720099,850000,1126678,1976678,2962523,0,0
3900,9011700,3115250,380099,396100,776199,850000,1139428,1989428,3130823,0,0
4000,9248850,3115250,348649,449650,798299,850000,1156428,2006428,3328873,0,0
4100,9486000,3115250,391574,454750,846324,850000,1177253,2027253,3497173,0,0
4200,9723150,3115250,376699,362100,738799,1003000,1181928,2184928,3684173,0,0
4300,9960300,3115250,409424,370600,780024,1003850,1204453,2208303,3856723,0,0
4400,10197450,3115250,399649,423300,822949,1003850,1206578,2210428,4048823,0,0
4500,10434600,3115250,446824,444550,891374,1003850,1209553,2213403,4214573,0,0
4600,10671750,3115250,429399,497250,926649,1003850,1211678,2215528,4414323,0,0
4700,10908900,3115250,469158,643450,1112608,1003850,1213803,2217653,4463389,0,2
4800,11146050,3115250,447674,434350,882024,1133050,1218117,2351167,4797609,0,1
4900,11383200,3115250,488389,457300,945689,1251200,1230017,2481217,4841044,0,1
5000,11620350,3115250,449567,577150,1026717,1252900,1255517,2508417,4969966,0,8
5100,11857500,3115250,486925,415650,902575,1355750,1266992,2622742,5216933,0,9
5200,12094650,3115250,461702,559300,1021002,1355750,1278467,2634217,5324181,0,12
5300,12331800,3115250,484992,363800,848792,1355750,1302692,2658442,5709316,0,11
5400,12568950,3115250,459322,496400,955722,1373600,1313742,2687342,5810636,0,11
5500,12806100,3115250,495787,425850,921637,1373600,1321392,2694992,6074221,0,11
5600,13043250,3115250,468842,565250,1034092,1373600,1332017,2705617,6188291,0,11
5700,13280400,3115250,481507,623050,1104557,1373600,1354967,2728567,6332026,0,12
5800,13517550,3115250,461383,523600,984983,1469650,1362171,2831821,6585496,0,11
5900,13754700,3115250,459173,474300,933473,1469650,1402546,2872196,6833781,0,11
6000,13991850,3115250,445828,583950,1029778,1475600,1407221,2882821,6964001,0,11
6100,14229000,3115250,27009,194650,221659,1823250,1860805,3684055,7208036,0,11
6200,14466150,3121200,155359,199750,355109,1823250,1957705,3780955,7208886,202,1
6300,14703300,3158600,313034,225250,538284,1823250,1971730,3794980,7211436,168,1
6400,14940450,3287800,299859,320450,620309,1833450,1986605,3820055,7212286,188,1
6500,15177600,3358350,326634,281350,607984,1893800,2009130,3902930,7308336,188,1
6600,15414750,3481600,329184,354450,683634,1893800,2022730,3916530,7332986,188,1
6700,15651900,3563200,346503,400350,746853,1897200,2041855,3939055,7402792,191,2
6800,15889050,3689000,349053,310250,659303,1897200,2062255,3959455,7581292,201,1
6900,16126200,3787600,362653,298350,661003,1897200,2075005,3972205,7705392,199,1
7000,16363350,3912550,369878,247350,617228,2011950,2092430,4104380,7729192,199,1
7100,16600500,4011150,392403,232900,625303,2011950,2101355,4113305,7850742,199,1
7200,16837650,4136100,390278,311950,702228,2011950,2112830,4124780,7874542,199,1
7300,17074800,4230450,414078,287300,701378,2011950,2120480,4132430,8010542,199,1
7400,17311950,4356250,411953,374850,786803,2011950,2122605,4134555,8034342,199,1
7500,17549100,4444650,447653,333200,780853,2018750,2126005,4144755,8178842,199,1
